,Texto,Polaridad
0,salgo de #veotv que día más largoo,NONE
1,@pauladelasheras no te libraras de ayudar menos besos y gracias,NEU
2,@marodriguezb gracias mar,P
3,off pensando en el regalito sinde la que se va de la sgae cuando se van sus corruptos intento no sacar conclusiones (lo intento),N+
4,conozco a alguien q es adicto al drama! ja ja ja te suena d algo!,P+
5,rt @fabhddzc: si amas a alguien déjalo libre si grita ese hombre es mío era @paurubio,NONE
6,toca @crackoviadetvxnumx grabación dl especial navideñomari crismas!,P+
7,hoy asisitiré en madrid a un seminario sobre la estrategia española de seguridad organizado por faes,NONE
8,buen día todos! lo primero mandar un abrazo grande a miguel y a su familia @libertadmontes hoy podría ser un día para la grandeza humana,P+
9,desde el escaño todo listo para empezar #endiascomohoy en el congreso xurlx,P+
10,bdías em no se ira de puente si vosotros os vais no dejeis de llevar la tableta o el pc y desde luego orbyt de momento no digo más,P+
11,un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos no necesita repensarse?,P+
12,#programascambiados caca d ajuste,N+
13,buen viernes,P
14,@adri_xnumx_xnumx: #programascambiados es tt gracias a @carlos_latre gracias por el buen rato amigos ;),P+
15,noos días me he dormidoo ya estoy en el taxi camino al aeropuerto en xnumx minutos vestida y maleta hecha que habré metido dios mio,NONE
16,vamos a por el viernes (@ ayuntamiento de málaga) [pic]: xurlx,NONE
17,la universidad confía en de la calle para encarar sus retos más ambiciosos xurlx,P+
18,¿me ayudáis a que #indultoneiro sea tt por si zapatero quiere alguna sugerencia para el último consejo de ministros xurlx,P
19,abcdesevillaes: recio no tiene «indicios potentes» para denunciar a los responsables de los ere xurlx,N
20,abcdesevillaes: cuatro altos cargos de empleo denunciados por retirar la prejubilación a extrabajadores xurlx,N
21,la marcha atrás del pp en posponer devolución ccaa es un resbalón debería asumir fallo y no mentir diciendo que no conoce estado cuentas,N
22,viernes negro: aumenta el paro en noviembre y disminuyen los afiliados a la seguridad social; esta es la triste #herenciapsoe,N+
23,accidente en bus-vao a-xnumx km xnumx motorista de xnumx años herido menos grave @samur_pc traslada a hospital doce de octubre vía @emergenciasmad,N
24,la verdadera seriedad es cómica niall binns retrata a nicanor parra premio cervantes xurlx,P
25,#ff a ti que deseas desesperadamente hacerme #ff pero no lo haces por el qué dirán,N
26,mis #ff xa @merpastor x volver a sonreír a @gfvara x ser tan autentico a @xnumxhoras_rne x su subidòn y a @carmendelriego x su victoria,P+
27,agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto me he comprometido a mediar #sevillahoy,P
28,#ff a @rdscubrenavidad por ser una gran iniciativa que en estos momentos se necesita hay que recordar lo importante y verdadero,P+
29,hasta ahora los filósofos han tratado de comprender el mundo; de lo que se trata sin embargo es de cambiarlo,NONE
30,open master class@javiersolana &pedro alonso on global health challenges&global governance @esadegeo@isglobalorg xurlx…,NONE
31,xnumxtercer actoacuerdo bancos centrales para dar un poco de tiempo,P
32,soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas,N
33,eguiguren: el gobierno ha negociado con eta llevamos dos años denunciándolo xurlx,N
34,no se ha aprobado la ley sinde,N
35,se puede entender que la misma solidaridad que pide el pv en sanidad la tenga el pv en cuanto a fiscalidad la rioja pierde siempre,NEU
36,¡¡mucho ánimo hoy para la armada espero que podáis brindarnos la quinta copa davis mucha suerte xurlx,P
37,blanco ministro portavoz en funciones desacredita de forma rotunda al pte del pse jesús eguiguren: no sabe de lo que habla no es cierto,N+
38,desgraciadamente el paro en españa sigue creciendo madrid va mejorando con xnumx cotizantes más y xnumx desempleados menos,N
39,en el blog: defender la solidaridad xurlx,NONE
40,#ff de vuelta ;-)) @pepemaras @popularescyl @anamariavielba @marmarev @ajimnezvelayos @jmoretaxnumx @dllanosg @c_floriano,P
41,qué graciosos los laicos socialistas le meten el amazing grace a un anuncio de la dgt si se descuidan le ponen el pange lingua,N
42,ya he presentado la credencial de diputado en el congreso en plena jornada de puertas abiertas #psnpsoe,NONE
43,el protocolo de iu supone aportar parte del salario pero no renunciar al seguro de vida accidente y a la prestación social complementaria,NEU
44,el post de hoy en mi blog xurlx,NONE
45,me encanta ver por aqui a @tudnie ;-)),P+
46,si están por valencia españa les recomiendo esta exposición xurlx,P
47,la gran noche de los abanderados xnumx - la opinión de málaga xurlx,NONE
48,@martacerame: @maria_rey amigaa holaa guapaa,P
49,el juez imputa a dos directivos de la ciudad de las artes y ciencias de valencia por el caso urdangarín parece que todos lo están menos él,N
50,firma de discos martes xnumx de diciembre en el cine callao a las xnumx horas xurlx,NONE
51,el desempleo en ee uu baja a los niveles de marzo de xnumx xurlx,P
52,seguimos (@ unidad de cuidados paliativos hospital civil) [pic]: xurlx,NONE
53,ya salio el sorteo de la eurocopa xnumx: españa italia croacia e irlanda a por ellos,NONE
54,granado reconoce que da los datos de paro con objetividad por estar en interinidad y antes @telediariointer xnumx:xnumx,N
